CO2 (g/s) [estimated maf],intake_pressure,intake_temperature,rpm,speed
3.132282096043585,98.0,52.0,1599.0,43.0
2.3230162733966457,73.0,52.0,1592.0,44.0
2.134562037959327,66.0,52.0,1618.0,44.0
2.160947230023101,66.0,52.0,1638.0,45.0
2.052648009870428,63.0,52.0,1630.0,45.0
2.104418954904652,64.0,52.0,1645.0,45.0
2.1056982369441077,64.0,52.0,1646.0,45.0
2.0498096028453854,62.0,52.0,1654.0,45.0
2.0627223559311414,63.0,52.0,1638.0,45.0
2.015109077525149,62.0,52.0,1626.0,45.0
2.0801125961549927,64.0,52.0,1626.0,45.0
2.8496007428876053,88.0,52.0,1620.0,45.0
3.078605797382385,93.0,51.0,1651.0,44.0
3.023346765205172,91.0,51.0,1657.0,45.0
2.5875502977263145,77.0,51.0,1676.0,46.0
2.4663052441792868,73.0,51.0,1685.0,46.0
2.353721983774696,70.0,51.0,1677.0,46.0
2.283745923434176,68.0,51.0,1675.0,46.0
2.324247826553904,70.0,51.0,1656.0,46.0
2.432520240834365,72.0,51.0,1685.0,46.0
2.384499420056272,71.0,51.0,1675.0,46.0
2.3546042034466117,71.0,51.0,1654.0,46.0
2.423858447691928,72.0,51.0,1679.0,45.0
2.40797849359746,72.0,51.0,1668.0,45.0
2.393542171693399,72.0,51.0,1658.0,45.0
2.419968660956667,74.0,51.0,1631.0,45.0
2.645636442943073,81.0,51.0,1629.0,44.0
2.973882312236672,90.0,51.0,1648.0,45.0
2.926669558912278,89.0,50.0,1635.0,45.0
2.841855171873602,86.0,50.0,1643.0,46.0
3.311260668457828,99.0,50.0,1663.0,45.0
3.356775242294329,100.0,50.0,1669.0,45.0
2.9343927565937697,87.0,50.0,1677.0,46.0
1.210485591655558,36.0,51.0,1677.0,45.0
1.5591205319512065,48.0,50.0,1615.0,44.0
3.3945867309433,97.0,50.0,1740.0,44.0
3.4311914699545376,100.0,50.0,1706.0,44.0
3.335154311284944,99.0,50.0,1675.0,44.0
3.091270209499077,91.0,50.0,1689.0,45.0
1.14808860031467,35.0,51.0,1636.0,45.0
0.849056232429707,31.0,51.0,1366.0,44.0
0.9429123752531956,31.0,51.0,1517.0,42.0
0.9438747967134664,35.0,51.0,1345.0,39.0
0.8969166496310883,37.0,51.0,1209.0,36.0
0.7983887526358685,39.0,51.0,1021.0,32.0
0.7964037583740604,40.0,51.0,993.0,27.0
0.7859775258877937,40.0,51.0,980.0,21.0
0.8548708620855093,44.0,51.0,969.0,16.0
0.9027513297339802,48.0,51.0,938.0,12.0
0.9011071930726844,46.0,51.0,977.0,8.0
0.7742279638936546,43.0,51.0,898.0,5.0
0.7986494084480255,52.0,51.0,766.0,2.0
0.8030204059134218,50.0,51.0,801.0,0.0
0.7950002270778318,50.0,51.0,793.0,0.0
0.8142887571774252,52.0,51.0,781.0,0.0
0.7538968105454347,50.0,51.0,752.0,0.0
0.7649245564443706,50.0,51.0,763.0,0.0
0.7548993328998834,50.0,51.0,753.0,0.0
0.7757116969782387,52.0,51.0,744.0,0.0
0.7757116969782387,52.0,51.0,744.0,0.0
0.7318413187475629,50.0,51.0,730.0,0.0
0.7526135819317402,51.0,51.0,736.0,0.0
0.7407838181492457,49.0,51.0,754.0,0.0
0.7171443410313447,47.0,51.0,761.0,0.0
0.6992392917808905,47.0,51.0,742.0,0.0
0.7030087758336179,47.0,51.0,746.0,0.0
0.7299766271682884,49.0,51.0,743.0,0.0
0.7295154668852419,48.0,51.0,758.0,0.0
0.8331361774410614,56.0,51.0,742.0,0.0
0.8512617816094941,58.0,51.0,732.0,0.0
0.8582994885377241,57.0,51.0,751.0,0.0
0.8998640653531677,60.0,51.0,748.0,0.0
0.8768461520950253,58.0,51.0,754.0,0.0
0.8634524534395904,56.0,51.0,769.0,0.0
0.8895982364436129,59.0,51.0,752.0,0.0
